"Domain","URL","Branch","Agency","Redirect","Uses HTTPS","Enforces HTTPS","Strict Transport Security (HSTS)","Preloaded (recommended)","SSL Labs Grade"
"imls.gov","https://imls.gov","executive","Institute of Museum and Library Services","No","Yes","Yes","No","",""
"indianaffairs.gov","http://indianaffairs.gov","executive","Department of the Interior","No","No","","","",""
"inel.gov","http://www.inel.gov","executive","Department of Energy","Yes","Yes","Yes","No","",""
"info.gov","http://www.info.gov","executive","General Services Administration","Yes","Yes","Yes","No","",""
"inl.gov","https://www.inl.gov","executive","Department of Energy","No","Yes","Yes","No","",""
"insurekidsnow.gov","https://www.insurekidsnow.gov","executive","Department of Health And Human Services","No","Yes","Yes","No","",""
"integrity.gov","https://www.integrity.gov","executive","Office of Government Ethics","No","Yes","Yes","No","",""
"intelink.gov","http://www.intelink.gov","executive","Director of National Intelligence","No","Yes","No","No","",""
"intelligence.gov","http://www.intelligence.gov","executive","Director of National Intelligence","Yes","Yes","Yes","No","",""
"intelligencecareers.gov","https://www.intelligencecareers.gov","executive","National Security Agency","No","Yes","Yes","No","",""
"interior.gov","https://www.interior.gov","executive","Department of the Interior","Yes","Yes","Yes","Yes","",""
"interpol.gov","http://www.interpol.gov","executive","Department of Justice","Yes","Yes","Yes","Yes","",""
"invasivespecies.gov","http://invasivespecies.gov","executive","Department of the Interior","No","No","","","",""
"invasivespeciesinfo.gov","https://www.invasivespeciesinfo.gov","executive","Department of Agriculture","No","Yes","Yes","Yes","",""
"investor.gov","https://investor.gov","executive","Securities and Exchange Commission","No","Yes","Yes","Yes","Yes",""
"ioss.gov","https://www.ioss.gov","executive","Department of Defense","Yes","Yes","Yes","No","",""
"ipac.gov","https://www.ipac.gov","executive","Department of the Treasury","No","Yes","Yes","No","",""
"ipcc-wg2.gov","http://ipcc-wg2.gov","executive","United Stated Global Change Research Program","No","Yes","No","No","",""
"ipm.gov","http://www.ipm.gov","executive","Department of Agriculture","Yes","No","","","",""
"ipp.gov","http://www.ipp.gov","executive","Department of the Treasury","No","Yes","No","No","",""
"iprcenter.gov","https://www.iprcenter.gov","executive","Department of Justice","No","Yes","Yes","Yes","",""
