"Domain","URL","Branch","Agency","Redirect","Uses HTTPS","Enforces HTTPS","Strict Transport Security (HSTS)","Preloaded (recommended)","SSL Labs Grade"
"nrc.gov","http://www.nrc.gov","executive","Nuclear Regulatory Commission","No","No","","","",""
"nrd.gov","http://nrd.gov","executive","Department of Defense","No","No","","","",""
"nrel.gov","http://www.nrel.gov","executive","Department of Energy","No","No","","","",""
"nro.gov","http://nro.gov","executive","Department of Defense","No","No","","","",""
"nrojr.gov","http://nrojr.gov","executive","Department of Defense","No","No","","","",""
"nsa.gov","https://www.nsa.gov","executive","Department of Defense","No","Yes","Yes","No","",""
"nsep.gov","https://nsep.gov","executive","Department of Defense","No","Yes","Yes","No","",""
"nsf.gov","https://nsf.gov","executive","National Science Foundation","No","Yes","Yes","No","",""
"nsopr.gov","http://www.nsopr.gov","executive","Department of Justice","Yes","No","","","",""
"nsopw.gov","https://www.nsopw.gov","executive","Department of Justice","No","Yes","Yes","Yes","",""
"nstic.gov","http://www.nstic.gov","executive","Executive Office of the President","Yes","No","","","",""
"ntdprogram.gov","https://www.ntdprogram.gov","executive","Department of Transportation","Yes","Yes","Yes","No","",""
"ntis.gov","https://www.ntis.gov","executive","Department of Commerce","No","Yes","Yes","Yes","",""
"ntrc.gov","http://www.ntrc.gov","executive","Department of Energy","No","No","","","",""
"ntsb.gov","http://www.ntsb.gov","executive","National Transportation Safety Board","No","No","","","",""
"nutrition.gov","http://www.nutrition.gov","executive","Department of Agriculture","No","Yes","No","Yes","",""
"nutritionevidencelibrary.gov","http://www.nutritionevidencelibrary.gov","executive","Department of Agriculture","Yes","No","","","",""
"nvtc.gov","http://www.nvtc.gov","executive","Department of Justice","Yes","No","","","",""
"nwbc.gov","https://www.nwbc.gov","executive","Small Business Administration","No","Yes","Yes","No","",""
"nwcg.gov","http://www.nwcg.gov","executive","Department of Agriculture","No","No","","","",""
"nwtrb.gov","http://nwtrb.gov","executive","Department of Energy","No","No","","","",""
"occ.gov","https://occ.gov","executive","Department of the Treasury","No","Yes","Yes","No","",""
"occhelps.gov","http://www.occhelps.gov","executive","Department of the Treasury","Yes","No","","","",""
"odni.gov","https://www.odni.gov","executive","Director of National Intelligence","No","Yes","Yes","No","",""
"oea.gov","http://oea.gov","executive","Department of Defense","No","Yes","No","No","",""
"ofcm.gov","http://www.ofcm.gov","executive","Department of Commerce","No","No","","","",""
"ofda.gov","https://www.ofda.gov","executive","U.S. Agency for International Development","No","Yes","Yes","No","",""
"ofr.gov","http://www.ofr.gov","legislative","Government Printing Office","No","No","","","",""
"oge.gov","https://oge.gov","executive","United States Office of Government Ethics","No","Yes","Yes","No","",""
"ogis.gov","http://www.ogis.gov","executive","National Archives and Records Administration","Yes","Yes","No","No","",""
"ojjdp.gov","https://www.ojjdp.gov","executive","Department of Justice","No","Yes","Yes","Yes","",""
"omb.gov","http://www.omb.gov","executive","Executive Office of the President","Yes","Yes","No","No","",""
"omblog.gov","http://www.omblog.gov","executive","Executive Office of the President","Yes","No","","","",""
"ondcp.gov","http://www.ondcp.gov","executive","Executive Office of the President","Yes","Yes","No","No","",""
"onguardonline.gov","https://www.onguardonline.gov","executive","Federal Trade Commission","Yes","Yes","Yes","No","Yes",""
"onhir.gov","http://onhir.gov","executive","Department of the Interior","No","No","","","",""
"onlineonguard.gov","https://www.onlineonguard.gov","executive","Federal Trade Commission","Yes","Yes","Yes","No","",""
"onlinewbc.gov","http://onlinewbc.gov","executive","Small Business Administration","No","No","","","",""
"onrr.gov","http://onrr.gov","executive","Department of the Interior","No","Yes","No","No","",""
"openinternet.gov","http://www.openinternet.gov","executive","Federal Communications Commission","Yes","No","","","",""
"opensource.gov","https://www.opensource.gov","executive","Central Intelligence Agency","No","Yes","Yes","No","",""
"openworld.gov","http://openworld.gov","legislative","Government Printing Office","No","No","","","",""
"opic.gov","https://www.opic.gov","executive","Overseas Private Investment Corporation","No","Yes","Yes","Yes","Ready",""
"opm.gov","https://www.opm.gov","executive","Office of Personnel Management","No","Yes","Yes","Yes","",""
"orau.gov","http://www.orau.gov","executive","Department of Energy","No","No","","","",""
"organdonor.gov","http://www.organdonor.gov","executive","Department of Health And Human Services","No","No","","","",""
"ornl.gov","https://ornl.gov","executive","Department of Energy","No","Yes","Yes","No","",""
"osac.gov","https://www.osac.gov","executive","Department of State","No","Yes","Yes","No","",""
"osc.gov","https://osc.gov","executive","U. S. Office of Special Counsel","No","Yes","Yes","No","",""
"osha.gov","https://osha.gov","executive","Department of Labor","No","Yes","Yes","No","",""
"oshrc.gov","http://oshrc.gov","executive","Occupational Safety & Health Review Commission","No","No","","","",""
"osm.gov","http://www.osm.gov","executive","Department of the Interior","Yes","No","","","",""
"osmre.gov","http://www.osmre.gov","executive","Department of the Interior","No","No","","","",""
"osti.gov","https://osti.gov","executive","Department of Energy","No","Yes","Yes","No","",""
"ostp.gov","http://www.ostp.gov","executive","Executive Office of the President","Yes","Yes","No","No","",""
"ots.gov","http://ots.gov","executive","Department of the Treasury","No","Yes","No","No","",""
"ourdocuments.gov","https://ourdocuments.gov","executive","National Archives and Records Administration","No","Yes","Yes","Yes","",""
"ovc.gov","http://ovc.gov","executive","Department of Justice","No","Yes","No","No","",""
"ovcttac.gov","https://www.ovcttac.gov","executive","Department of Justice","No","Yes","Yes","Yes","",""
"oversight.gov","http://www.oversight.gov","executive","Council of Inspector General on Integrity and Efficiency","Yes","No","","","",""
"pacer.gov","https://www.pacer.gov","judicial","U.S Courts","No","Yes","Yes","No","",""
"pandemicflu.gov","http://www.pandemicflu.gov","executive","Department of Health And Human Services","Yes","No","","","",""
"papahanaumokuakea.gov","http://www.papahanaumokuakea.gov","executive","Department of Commerce","No","No","","","",""
"partner4solutions.gov","https://www.partner4solutions.gov","executive","General Services Administration","No","Yes","Yes","Yes","",""
"patriotbonds.gov","http://patriotbonds.gov","executive","Department of the Treasury","No","No","","","",""
"pay.gov","https://pay.gov","executive","Department of the Treasury","No","Yes","Yes","Yes","",""
"paymentaccuracy.gov","http://paymentaccuracy.gov","executive","Executive Office of the President","No","Yes","No","Yes","Yes",""
"pbgc.gov","http://pbgc.gov","executive","Pension Benefit Guaranty Corporation","No","Yes","No","No","",""
"pcah.gov","http://pcah.gov","executive","National Endowment for the Humanities","No","Yes","No","No","",""
"pclob.gov","https://pclob.gov","executive","General Services Administration","No","Yes","Yes","Yes","Yes",""
"peacecorps.gov","https://www.peacecorps.gov","executive","U. S. Peace Corps","No","Yes","Yes","Yes","",""
"pentagon.gov","http://www.pentagon.gov","executive","Department of Defense","Yes","No","","","",""
"performance.gov","https://www.performance.gov","executive","General Services Administration","No","Yes","Yes","Yes","",""
"phe.gov","http://www.phe.gov","executive","Department of Health And Human Services","No","No","","","",""
"pic.gov","http://pic.gov","executive","General Services Administration","No","Yes","No","Yes","Yes",""
"piedrasblancas.gov","http://www.piedrasblancas.gov","executive","Department of the Interior","Yes","No","","","",""
"pif.gov","http://www.pif.gov","executive","General Services Administration","Yes","No","","","",""
"pix.gov","http://www.pix.gov","executive","Director of National Intelligence","Yes","No","","","",""
"plainlanguage.gov","http://www.plainlanguage.gov","executive","Department of Transportation","No","No","","","",""
"pmf.gov","https://pmf.gov","executive","Office of Personnel Management","No","Yes","Yes","Yes","",""
"pmi.gov","https://www.pmi.gov","executive","U.S. Agency for International Development","No","Yes","Yes","Yes","Ready",""
"pnl.gov","http://pnl.gov","executive","Department of Energy","No","Yes","No","No","",""
"pnnl.gov","http://pnnl.gov","executive","Department of Energy","No","Yes","No","No","",""
"poolsafely.gov","http://www.poolsafely.gov","executive","Consumer Product Safety Commission","No","No","","","",""
"poolsafety.gov","http://www.poolsafety.gov","executive","Consumer Product Safety Commission","Yes","No","","","",""
"postoffice.gov","http://www.postoffice.gov","executive","U. S. Postal Service","Yes","No","","","",""
"ppdcecc.gov","http://ppdcecc.gov","legislative","The Legislative Branch (Congress)","No","No","","","",""
"ppirs.gov","https://www.ppirs.gov","executive","General Services Administration","No","Yes","Yes","No","",""
"pppl.gov","http://www.pppl.gov","executive","National Science Foundation","No","No","","","",""
"pracomment.gov","http://www.pracomment.gov","executive","Department of the Treasury","Yes","No","","","",""
"prc.gov","http://www.prc.gov","executive","Postal Rate Commission","No","No","","","",""
"pregunteleakaren.gov","http://www.pregunteleakaren.gov","executive","Department of Agriculture","Yes","Yes","No","No","",""
"preserveamerica.gov","http://preserveamerica.gov","executive","Advisory Council on Historic Preservation","No","No","","","",""
"presidentialdocuments.gov","https://www.presidentialdocuments.gov","legislative","Government Printing Office","Yes","Yes","Yes","Yes","",""
"presidentialinnovationfellows.gov","https://presidentialinnovationfellows.gov","executive","General Services Administration","No","Yes","Yes","Yes","",""
"presidentialserviceawards.gov","https://www.presidentialserviceawards.gov","executive","Corporation for National & Community Service","No","Yes","Yes","Yes","Ready",""
"presidio.gov","http://www.presidio.gov","executive","Executive Office of the President","No","No","","","",""
"pretrialservices.gov","http://pretrialservices.gov","executive","Court Services and Offender Supervision","No","Yes","No","No","",""
"primarysources.gov","http://www.primarysources.gov","legislative","Library of Congress","Yes","No","","","",""
"privacycouncil.gov","http://privacycouncil.gov","executive","General Services Administration","Yes","No","","","",""
"privacyshield.gov","https://www.privacyshield.gov","executive","Department of Commerce","No","Yes","Yes","No","",""
"projectsafechildhood.gov","http://www.projectsafechildhood.gov","executive","Department of Justice","Yes","Yes","Yes","Yes","Ready",""
"projectsafeneighborhoods.gov","http://www.projectsafeneighborhoods.gov","executive","Department of Justice","Yes","No","","","",""
"protecciondelconsumidor.gov","https://www.protecciondelconsumidor.gov","executive","Federal Trade Commission","No","Yes","Yes","Yes","Yes",""
"protectyourmove.gov","https://www.protectyourmove.gov","executive","Department of Transportation","Yes","Yes","Yes","No","",""
"psa.gov","http://psa.gov","executive","Court Services and Offender Supervision","No","Yes","No","No","",""
"psc.gov","http://www.psc.gov","executive","Department of Health And Human Services","No","Yes","No","No","",""
"pscr.gov","http://pscr.gov","executive","Department of Commerce","No","No","","","",""
"psn.gov","http://www.psn.gov","executive","Department of Justice","Yes","No","","","",""
"psob.gov","https://www.psob.gov","executive","Department of Justice","No","Yes","Yes","Yes","",""
"ptf.gov","http://www.ptf.gov","executive","The Intelligence Community","Yes","No","","","",""
"pubmed.gov","http://www.pubmed.gov","executive","Department of Health And Human Services","Yes","Yes","Yes","Yes","Ready",""
"qart.gov","https://www.qart.gov","executive","Director of National Intelligence","No","Yes","Yes","No","",""
"qatesttwai.gov","https://qatesttwai.gov","executive","Department of the Treasury","No","No","","","",""
"quic.gov","http://www.quic.gov","executive","Department of Health And Human Services","Yes","Yes","No","No","",""
"quick.gov","http://www.quick.gov","executive","Department of Health And Human Services","Yes","No","","","",""
"rcfl.gov","https://www.rcfl.gov","executive","Department of Justice","No","Yes","Yes","Yes","",""
"reachhigher.gov","http://www.reachhigher.gov","executive","Executive Office of the President","Yes","Yes","No","No","",""
"read.gov","http://read.gov","legislative","Library of Congress","No","No","","","",""
"ready.gov","https://www.ready.gov","executive","Department of Homeland Security","No","Yes","Yes","No","",""
"readybusiness.gov","https://www.readybusiness.gov","executive","Department of Homeland Security","Yes","Yes","Yes","No","",""
"reaganlibrary.gov","https://reaganlibrary.gov","executive","National Archives and Records Administration","No","Yes","Yes","No","",""
"realestatesales.gov","http://realestatesales.gov","executive","General Services Administration","No","Yes","No","No","",""
"realpropertyprofile.gov","https://www.realpropertyprofile.gov","executive","General Services Administration","No","Yes","Yes","No","",""
"recalls.gov","http://www.recalls.gov","executive","Consumer Product Safety Commission","No","Yes","No","No","",""
"recoverymonth.gov","https://recoverymonth.gov","executive","Department of Health And Human Services","No","Yes","Yes","No","",""
"recreation.gov","http://www.recreation.gov","executive","Department of Agriculture","No","No","","","",""
"reginfo.gov","http://reginfo.gov","executive","General Services Administration","No","Yes","No","No","",""
"regulations.gov","https://www.regulations.gov","executive","Environmental Protection Agency","No","Yes","Yes","Yes","Ready",""
"relocatefeds.gov","https://relocatefeds.gov","executive","Environmental Protection Agency","No","Yes","Yes","Yes","",""
"reo.gov","http://reo.gov","executive","Department of Agriculture","No","No","","","",""
"reportband.gov","http://www.reportband.gov","executive","Department of the Interior","Yes","No","","","",""
"republicans.gov","http://republicans.gov","legislative","The Legislative Branch (Congress)","Yes","No","","","",""
"research.gov","http://www.research.gov","executive","National Science Foundation","No","Yes","No","No","",""
"restorethegulf.gov","https://restorethegulf.gov","executive","Gulf Coast Ecosystem Restoration Council (GCERC)","No","Yes","Yes","No","",""
"rivers.gov","https://rivers.gov","executive","Department of the Interior","No","Yes","Yes","Yes","Ready",""
"robodeidentidad.gov","https://robodeidentidad.gov","executive","Federal Trade Commission","No","Yes","Yes","Yes","Yes",""
"rocis.gov","http://rocis.gov","executive","General Services Administration","No","Yes","No","No","",""
"rrb.gov","https://www.rrb.gov","executive","Railroad Retirement Board","No","Yes","Yes","Yes","",""
"sac.gov","https://sac.gov","executive","National Science Foundation","No","Yes","Yes","No","",""
"safecom.gov","https://www.safecom.gov","executive","Department of the Interior","No","Yes","Yes","No","",""
"safecomprogram.gov","http://www.safecomprogram.gov","executive","Department of Homeland Security","Yes","Yes","Yes","No","",""
"safeocs.gov","https://www.safeocs.gov","executive","Department of Transportation","No","Yes","Yes","No","",""
"safercar.gov","http://www.safercar.gov","executive","Department of Transportation","No","Yes","No","No","",""
"saferproduct.gov","http://www.saferproduct.gov","executive","Consumer Product Safety Commission","No","No","","","",""
"saferproducts.gov","http://www.saferproducts.gov","executive","Consumer Product Safety Commission","No","No","","","",""
"safertruck.gov","http://www.safertruck.gov","executive","Department of Transportation","No","Yes","No","No","",""
"safetyact.gov","http://safetyact.gov","executive","Department of Homeland Security","No","No","","","",""
"safetyvideos.gov","http://www.safetyvideos.gov","executive","U.S. Chemical Safety and Hazard Investigation Board","Yes","No","","","",""
"safeyouth.gov","http://www.safeyouth.gov","executive","Department of Health And Human Services","Yes","No","","","",""
"salmonrecovery.gov","https://www.salmonrecovery.gov","executive","Department of Energy","No","Yes","Yes","No","",""
"sam.gov","https://www.sam.gov","executive","General Services Administration","No","Yes","Yes","No","",""
"samhsa.gov","http://www.samhsa.gov","executive","Department of Health And Human Services","No","No","","","",""
"sandia.gov","http://www.sandia.gov","executive","Department of Energy","No","No","","","",""
"save.gov","http://www.save.gov","executive","Executive Office of the President","Yes","No","","","Yes",""
"saveaward.gov","http://www.saveaward.gov","executive","Executive Office of the President","Yes","No","","","Yes",""
"savingsbond.gov","http://savingsbond.gov","executive","Department of the Treasury","No","No","","","",""
"savingsbonds.gov","http://savingsbonds.gov","executive","Department of the Treasury","No","No","","","",""
"savingsbondwizard.gov","http://savingsbondwizard.gov","executive","Department of the Treasury","No","No","","","",""
"sba.gov","https://www.sba.gov","executive","Small Business Administration","No","Yes","Yes","No","",""
"sbir.gov","https://www.sbir.gov","executive","Small Business Administration","No","Yes","Yes","No","",""
"sbst.gov","https://sbst.gov","executive","General Services Administration","No","Yes","Yes","No","",""
"scidac.gov","http://www.scidac.gov","executive","Department of Energy","No","No","","","",""
"science.gov","http://science.gov","executive","Department of Energy","No","Yes","No","No","",""
"science360.gov","https://www.science360.gov","executive","National Science Foundation","No","Yes","Yes","Yes","Ready",""
"sciencebase.gov","https://www.sciencebase.gov","executive","Department of the Interior","No","Yes","Yes","Yes","",""
"scra.gov","http://www.scra.gov","executive","Department of Justice","Yes","Yes","Yes","Yes","Ready",""
"sdr.gov","http://www.sdr.gov","executive","Department of Commerce","No","No","","","",""
"sec.gov","https://www.sec.gov","executive","Securities and Exchange Commission","No","Yes","Yes","No","",""
"secretservice.gov","http://www.secretservice.gov","executive","Department of Homeland Security","No","Yes","No","No","",""
"section108.gov","http://section108.gov","legislative","Library of Congress","No","No","","","",""
"section508.gov","https://section508.gov","executive","General Services Administration","No","Yes","Yes","Yes","Ready",""
"seguridadconsumidor.gov","http://www.seguridadconsumidor.gov","executive","Consumer Product Safety Commission","Yes","No","","","",""
"segurosocial.gov","https://www.segurosocial.gov","executive","Social Security Administration","No","Yes","Yes","Yes","",""
"selectagents.gov","http://www.selectagents.gov","executive","Department of Health And Human Services","No","Yes","No","No","",""
"selectusa.gov","https://www.selectusa.gov","executive","Department of Commerce","No","Yes","Yes","No","",""
"sen.gov","http://sen.gov","legislative","The Legislative Branch (Congress)","No","Yes","No","No","",""
"senate.gov","http://www.senate.gov","legislative","The Legislative Branch (Congress)","No","Yes","No","No","",""
"senatecalendar.gov","https://www.senatecalendar.gov","legislative","Government Printing Office","Yes","Yes","Yes","Yes","",""
"seniorcorps.gov","http://www.seniorcorps.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"sentinel.gov","http://www.sentinel.gov","executive","Federal Trade Commission","Yes","Yes","No","No","",""
"serve.gov","http://www.serve.gov","executive","Corporation for National & Community Service","No","Yes","No","No","",""
"service.gov","http://www.service.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"servicelearning.gov","http://www.servicelearning.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"servicemembers.gov","http://www.servicemembers.gov","executive","Department of Justice","Yes","Yes","Yes","Yes","Ready",""
"sftool.gov","http://sftool.gov","executive","General Services Administration","No","Yes","No","Yes","Yes",""
"sharetheroadsafely.gov","https://www.sharetheroadsafely.gov","executive","Department of Transportation","Yes","Yes","Yes","No","",""
"sierrawild.gov","http://sierrawild.gov","executive","Department of the Interior","No","No","","","",""
"sigtarp.gov","https://www.sigtarp.gov","executive","Department of the Treasury","No","Yes","Yes","No","",""
"siteidiq.gov","https://www.siteidiq.gov","executive","Department of Defense","No","Yes","Yes","No","",""
"sji.gov","http://www.sji.gov","executive","Department of State","No","No","","","",""
"slgs.gov","http://slgs.gov","executive","Department of the Treasury","No","Yes","No","No","",""
"smartcheck.gov","http://smartcheck.gov","executive","Commodity Futures Trading Commission","No","No","","","",""
"smartgrid.gov","https://www.smartgrid.gov","executive","Department of Energy","No","Yes","Yes","No","",""
"smokefree.gov","https://smokefree.gov","executive","Department of Health And Human Services","No","Yes","Yes","Yes","",""
"snap.gov","http://snap.gov","executive","Department of the Interior","No","No","","","",""
"sns.gov","http://sns.gov","executive","Department of Energy","No","No","","","",""
"socialsecurity.gov","https://www.socialsecurity.gov","executive","Social Security Administration","Yes","Yes","Yes","Yes","",""
"solardecathlon.gov","http://www.solardecathlon.gov","executive","Department of Energy","No","No","","","",""
"spaceweather.gov","http://www.spaceweather.gov","executive","Department of Commerce","Yes","No","","","",""
"speaker.gov","http://www.speaker.gov","legislative","The Legislative Branch (Congress)","No","Yes","No","No","",""
"spectrum.gov","http://www.spectrum.gov","executive","Department of Commerce","Yes","No","","","",""
"srs.gov","http://www.srs.gov","executive","Department of Energy","No","No","","","",""
"ssa.gov","https://www.ssa.gov","executive","Social Security Administration","No","Yes","Yes","Yes","",""
"ssab.gov","http://ssab.gov","executive","Social Security Advisory Board","No","No","","","",""
"sss.gov","https://www.sss.gov","executive","Selective Service System","No","Yes","Yes","Yes","",""
"standards.gov","https://www.standards.gov","executive","Department of Commerce","Yes","Yes","Yes","Yes","Ready",""
"start2farm.gov","http://www.start2farm.gov","executive","Department of Agriculture","Yes","Yes","Yes","Yes","",""
"state.gov","http://www.state.gov","executive","Department of State","No","Yes","No","No","",""
"stateoig.gov","http://www.stateoig.gov","executive","Department of State OIG","No","Yes","No","No","",""
"stb.gov","http://www.stb.gov","executive","Surface Transportation Board (STB)","No","Yes","No","No","",""
"stennis.gov","https://www.stennis.gov","legislative","Stennis Center for Public Service","No","Yes","Yes","No","",""
"stopalcoholabuse.gov","https://stopalcoholabuse.gov","executive","Department of Health And Human Services","No","Yes","Yes","No","",""
"stopbullying.gov","https://www.stopbullying.gov","executive","Department of Health And Human Services","No","Yes","Yes","No","",""
"stopfakes.gov","https://www.stopfakes.gov","executive","Department of Commerce","No","Yes","Yes","No","",""
"stopfraud.gov","https://www.stopfraud.gov","executive","Department of Justice","No","Yes","Yes","Yes","Yes",""
"stopmedicarefraud.gov","https://www.stopmedicarefraud.gov","executive","Department of Health And Human Services","No","Yes","Yes","Yes","",""
"strategicsourcing.gov","https://strategicsourcing.gov","executive","General Services Administration","No","Yes","Yes","No","",""
"strongmiddleclass.gov","http://www.strongmiddleclass.gov","executive","Executive Office of the President","Yes","Yes","No","No","",""
"strongports.gov","http://www.strongports.gov","executive","Department of Transportation","Yes","No","","","",""
"studentaid.gov","http://www.studentaid.gov","executive","Department of Education","Yes","Yes","No","No","",""
"studentloans.gov","https://www.studentloans.gov","executive","Department of Education","No","Yes","Yes","Yes","Yes",""
"supportthevoter.gov","https://www.supportthevoter.gov","executive","General Services Administration","No","Yes","Yes","Yes","",""
"supremecourt.gov","https://www.supremecourt.gov","judicial","The Supreme Court","No","Yes","Yes","No","",""
"supremecourtus.gov","http://www.supremecourtus.gov","judicial","The Supreme Court","Yes","Yes","Yes","No","",""
"surgeongeneral.gov","http://www.surgeongeneral.gov","executive","Department of Health And Human Services","No","Yes","No","No","",""
"sustainability.gov","https://sustainability.gov","executive","Environmental Protection Agency","No","Yes","Yes","Yes","Yes",""
"sustainablecommunities.gov","https://www.sustainablecommunities.gov","executive","Department of Transportation","No","Yes","Yes","No","",""
"swpa.gov","http://swpa.gov","executive","Department of Energy","No","No","","","",""
"symbols.gov","https://symbols.gov","executive","Department of Agriculture","No","Yes","Yes","No","",""
"taaps.gov","http://taaps.gov","executive","Department of the Treasury","No","No","","","",""
"tax.gov","http://www.tax.gov","executive","Department of the Treasury","No","No","","","",""
"taxreform.gov","https://taxreform.gov","legislative","The Legislative Branch (Congress)","No","Yes","Yes","No","",""
"teachingprimarysources.gov","http://www.teachingprimarysources.gov","legislative","Library of Congress","Yes","No","","","",""
"teachingwithprimarysources.gov","http://www.teachingwithprimarysources.gov","legislative","Library of Congress","Yes","No","","","",""
"telework.gov","https://telework.gov","executive","Office of Personnel Management","No","Yes","Yes","Yes","",""
"tfhrc.gov","http://www.tfhrc.gov","executive","Department of Transportation","Yes","No","","","",""
"thecoolspot.gov","http://thecoolspot.gov","executive","Department of Health And Human Services","No","No","","","",""
"therealcost.gov","https://www.therealcost.gov","executive","Department of Health And Human Services","Yes","Yes","Yes","No","",""
"thisfreelife.gov","https://www.thisfreelife.gov","executive","Department of Health And Human Services","Yes","Yes","Yes","No","",""
"thomas.gov","http://www.thomas.gov","legislative","Library of Congress","Yes","No","","","",""
"tigta.gov","http://www.tigta.gov","executive","Department of the Treasury","Yes","Yes","No","No","",""
"time.gov","http://time.gov","executive","Department of Commerce","No","No","","","",""
"tobacco.gov","http://www.tobacco.gov","executive","Department of Health And Human Services","Yes","No","","","",""
"tps.gov","http://www.tps.gov","legislative","Library of Congress","Yes","No","","","",""
"trade.gov","http://trade.gov","executive","Department of Commerce","No","No","","","",""
"trafficsafetymarketing.gov","https://www.trafficsafetymarketing.gov","executive","Department of Transportation","No","Yes","Yes","No","",""
"transparency.gov","http://www.transparency.gov","executive","Department of the Treasury","Yes","No","","","",""
"transportation.gov","https://www.transportation.gov","executive","Department of Transportation","No","Yes","Yes","No","",""
"treas.gov","http://www.treas.gov","executive","Department of the Treasury","Yes","No","","","",""
"treaslockbox.gov","https://www.treaslockbox.gov","executive","Department of the Treasury","No","Yes","Yes","Yes","",""
"treasury.fed.us","http://treasury.fed.us","executive","Department of the Treasury","Yes","No","","","",""
"treasury.gov","https://www.treasury.gov","executive","Department of the Treasury","No","Yes","Yes","No","",""
"treasuryauctions.gov","http://treasuryauctions.gov","executive","Department of the Treasury","No","No","","","",""
"treasurydirect.gov","http://treasurydirect.gov","executive","Department of the Treasury","No","Yes","No","No","",""
"treasuryhunt.gov","http://treasuryhunt.gov","executive","Department of the Treasury","No","Yes","No","No","",""
"treasuryscams.gov","http://treasuryscams.gov","executive","Department of the Treasury","No","No","","","",""
"tribaljusticeandsafety.gov","http://www.tribaljusticeandsafety.gov","executive","Department of Justice","Yes","Yes","Yes","Yes","Ready",""
"truman.gov","http://truman.gov","executive","Harry S. Truman Scholarship Foundation","No","Yes","No","No","",""
"tsa.gov","https://www.tsa.gov","executive","Department of Homeland Security","No","Yes","Yes","Yes","",""
"tsc.gov","http://www.tsc.gov","executive","Terrorist Screening Center","Yes","No","","","",""
"tsp.gov","https://www.tsp.gov","executive","Federal Retirement Thrift Investment Board","No","Yes","Yes","Yes","",""
"tsunami.gov","http://tsunami.gov","executive","Department of Commerce","No","No","","","",""
"tswg.gov","http://tswg.gov","executive","Department of Defense","No","No","","","",""
"ttb.gov","https://ttb.gov","executive","Department of the Treasury","No","Yes","Yes","Yes","Yes",""
"ttbonline.gov","https://ttbonline.gov","executive","Department of the Treasury","No","Yes","Yes","Yes","Yes",""
"tva.gov","https://www.tva.gov","executive","Tennessee Valley Authority","No","Yes","Yes","Yes","",""
"tvaoig.gov","http://tvaoig.gov","executive","Tennessee Valley Authority","No","No","","","",""
"udall.gov","http://udall.gov","executive","Morris K. Udall Foundation","No","Yes","No","No","",""
"unicor.gov","https://www.unicor.gov","executive","Department of Justice","No","Yes","Yes","No","",""
"unionreports.gov","https://www.unionreports.gov","executive","Department of Labor","Yes","Yes","Yes","No","",""
"unitedstates.gov","http://www.unitedstates.gov","executive","General Services Administration","Yes","Yes","Yes","No","",""
"unitedstatescongress.gov","http://www.unitedstatescongress.gov","legislative","Library of Congress","Yes","No","","","",""
"unlocktalent.gov","https://unlocktalent.gov","executive","Office of Personnel Management","No","Yes","Yes","Yes","",""
"urbanwaters.gov","https://www.urbanwaters.gov","executive","Environmental Protection Agency","Yes","Yes","Yes","Yes","",""
"us-cert.gov","https://www.us-cert.gov","executive","Department of Homeland Security","No","Yes","Yes","Yes","",""
"us.gov","http://www.us.gov","executive","General Services Administration","Yes","Yes","Yes","No","",""
"usa.gov","https://www.usa.gov","executive","General Services Administration","No","Yes","Yes","Yes","",""
"usability.gov","https://www.usability.gov","executive","Department of Health And Human Services","No","Yes","Yes","No","",""
"usadf.gov","http://www.usadf.gov","executive","African Development Foundation","No","Yes","No","No","",""
"usagov.gov","http://www.usagov.gov","executive","General Services Administration","Yes","Yes","Yes","No","",""
"usaid.gov","https://www.usaid.gov","executive","U.S. Agency for International Development","No","Yes","Yes","Yes","",""
"usajobs.gov","https://www.usajobs.gov","executive","Office of Personnel Management","No","Yes","Yes","Yes","",""
"usalearning.gov","https://usalearning.gov","executive","Office of Personnel Management","No","Yes","Yes","No","",""
"usandc.gov","http://www.usandc.gov","executive","Department of Defense","No","No","","","",""
"usap.gov","https://usap.gov","executive","National Science Foundation","No","Yes","Yes","Yes","Ready",""
"usaperformance.gov","http://www.usaperformance.gov","executive","General Services Administration","Yes","No","","","",""
"usaseanconnect.gov","https://www.usaseanconnect.gov","executive","Department of State","No","Yes","Yes","No","",""
"usaspending.gov","https://www.usaspending.gov","executive","Department of the Treasury","No","Yes","Yes","No","",""
"usastaffing.gov","https://www.usastaffing.gov","executive","Office of Personnel Management","No","Yes","Yes","Yes","",""
"usbankruptcy.gov","http://www.usbankruptcy.gov","judicial","U.S Courts","Yes","No","","","",""
"usbg.gov","https://www.usbg.gov","executive","Architect of the Capitol","No","Yes","Yes","No","",""
"usbr.gov","http://www.usbr.gov","executive","Department of the Interior","No","Yes","No","No","",""
"uscapital.gov","http://www.uscapital.gov","executive","Architect of the Capitol","No","No","","","",""
"uscapitol.gov","http://www.uscapitol.gov","executive","Architect of the Capitol","No","No","","","",""
"uscapitolpolice.gov","http://www.uscapitolpolice.gov","legislative","U.S. Capitol Police","Yes","No","","","",""
"uscc.gov","http://www.uscc.gov","legislative","Government Printing Office","No","No","","","",""
"usccr.gov","http://usccr.gov","executive","U.S. Commission on Civil Rights","No","No","","","",""
"uscirf.gov","http://www.uscirf.gov","executive","General Services Administration","No","No","","","",""
